side,campaign_id,campaign_label,row_type,order_index,chain_stage,chain_stage_label,summary,evidence_label,evidence_time_s,latency_from_first_fault_s,start_s,end_s,phase_label,signal,effect_subtype,detail
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,chain_stage,1,hardware_origin,1. Hardware-Origin Fault,Corrupted calibration register or nonvolatile memory bit upset affecting the cooling-control target.,calibration memory corruption (permanent),52.000,0.000,,,highway_load,,,"permanent fault active, parameter=16.000"
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,chain_stage,2,ecu_manifestation,2. ECU Manifestation,"The ECU continues with a delayed cooling request even though measured temperatures are correct, because the internal target is shifted.",Cooling request remains delayed despite rising temperature,60.700,8.700,,,urban_traffic,,,Coolant reached 95.11 C while pump command was 0.265 and fan command was 0.000.
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,chain_stage,3,diagnostic_effect,3. Diagnostic Effect,Thermal and cooling-performance evidence appears later than in direct actuation faults because the error begins inside control computation.,Primary DTC: cooling performance low,91.500,39.500,,,hot_idle,,,Primary diagnostic evidence first appears as cooling performance low.
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,chain_stage,4,system_effect,4. Safe-State / System Effect,"Coolant temperature rises higher than nominal and protection eventually escalates, illustrating delayed cross-layer propagation.",Thermal warning threshold crossed,91.500,39.500,,,hot_idle,,,Coolant temperature crossed the warning threshold.
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,timeline_item,1,hardware_origin,1. Hardware-Origin Fault,calibration memory corruption (permanent),calibration memory corruption,52.000,0.000,52.000,120.000,highway_load,fault injection schedule,fault_activation,"permanent fault active, parameter=16.000"
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,timeline_item,2,ecu_manifestation,2. ECU Manifestation,Cooling request remains delayed despite rising temperature,delayed cooling request,60.700,8.700,,,urban_traffic,pump_command / fan_command,control_target_shift,Coolant reached 95.11 C while pump command was 0.265 and fan command was 0.000.
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,timeline_item,3,diagnostic_effect,3. Diagnostic Effect,Primary DTC: cooling performance low,cooling performance low,91.500,39.500,,,hot_idle,primary_dtc_label,primary_dtc,Primary diagnostic evidence first appears as cooling performance low.
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,timeline_item,4,system_effect,4. Safe-State / System Effect,Thermal warning threshold crossed,thermal warning,91.500,39.500,,,hot_idle,overtemp_warning,thermal_warning,Coolant temperature crossed the warning threshold.
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,timeline_item,5,system_effect,4. Safe-State / System Effect,Safe state: precautionary cooling,precautionary cooling,91.500,39.500,,,hot_idle,safe_state_label,safe_state,Protection escalated into precautionary cooling.
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,timeline_item,6,system_effect,4. Safe-State / System Effect,Safe state: limp home,limp home,92.100,40.100,,,hot_idle,safe_state_label,safe_state,Protection escalated into limp home.
run,calibration_memory_corruption,Corrupted coolant-control target calibration campaign,timeline_item,7,system_effect,4. Safe-State / System Effect,Peak coolant temperature: 108.2 C,peak 108.2 C,108.500,56.500,,,hot_idle,coolant_temp_true_c,peak_temperature,Maximum true coolant temperature reached 108.17 C.
