side,campaign_id,campaign_label,row_type,order_index,chain_stage,chain_stage_label,summary,evidence_label,evidence_time_s,latency_from_first_fault_s,start_s,end_s,phase_label,signal,effect_subtype,detail
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,chain_stage,1,hardware_origin,1. Hardware-Origin Fault,Persistent sensor-to-ECU timing or communication refresh delay that leaves the controller operating on aged coolant data.,stale sensor data (permanent),65.000,0.000,,,urban_traffic,,,"permanent fault active, parameter=15000.000"
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,chain_stage,2,ecu_manifestation,2. ECU Manifestation,"The ECU acts on stale coolant measurements, so cooling demand lags behind the true thermal state during the stressed phase.",Aged coolant sample drives ECU control decisions,88.900,23.900,,,urban_traffic,,,Measured coolant was 95.57 C while true coolant was 93.57 C.
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,chain_stage,3,diagnostic_effect,3. Diagnostic Effect,Sensor-rationality and cooling-performance evidence appear once the stale measurement lag grows large enough to distort control behavior.,Primary DTC: coolant sensor rationality,92.000,27.000,,,hot_idle,,,Primary diagnostic evidence first appears as coolant sensor rationality.
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,chain_stage,4,system_effect,4. Safe-State / System Effect,"Delayed cooling action produces warning-level thermal stress and safe-state escalation, making the timing fault research-visible.",Thermal warning threshold crossed,95.000,30.000,,,hot_idle,,,Coolant temperature crossed the warning threshold.
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,timeline_item,1,hardware_origin,1. Hardware-Origin Fault,stale sensor data (permanent),stale data,65.000,0.000,65.000,120.000,urban_traffic,fault injection schedule,fault_activation,"permanent fault active, parameter=15000.000"
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,timeline_item,2,ecu_manifestation,2. ECU Manifestation,Aged coolant sample drives ECU control decisions,aged coolant data,88.900,23.900,,,urban_traffic,coolant_temp_meas_c vs coolant_temp_true_c,stale_data,Measured coolant was 95.57 C while true coolant was 93.57 C.
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,timeline_item,3,diagnostic_effect,3. Diagnostic Effect,Primary DTC: coolant sensor rationality,rationality,92.000,27.000,,,hot_idle,primary_dtc_label,primary_dtc,Primary diagnostic evidence first appears as coolant sensor rationality.
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,timeline_item,4,system_effect,4. Safe-State / System Effect,Thermal warning threshold crossed,thermal warning,95.000,30.000,,,hot_idle,overtemp_warning,thermal_warning,Coolant temperature crossed the warning threshold.
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,timeline_item,5,system_effect,4. Safe-State / System Effect,Safe state: precautionary cooling,precautionary cooling,95.000,30.000,,,hot_idle,safe_state_label,safe_state,Protection escalated into precautionary cooling.
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,timeline_item,6,system_effect,4. Safe-State / System Effect,Safe state: limp home,limp home,95.100,30.100,,,hot_idle,safe_state_label,safe_state,Protection escalated into limp home.
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,timeline_item,7,diagnostic_effect,3. Diagnostic Effect,Primary DTC: cooling performance low,cooling performance low,95.500,30.500,,,hot_idle,primary_dtc_label,primary_dtc,Primary diagnostic evidence first appears as cooling performance low.
run,stale_sensor_data_hot_stress,Thermally stressed stale coolant-sensor update campaign,timeline_item,8,system_effect,4. Safe-State / System Effect,Peak coolant temperature: 142.4 C,peak 142.4 C,120.000,55.000,,,hot_idle,coolant_temp_true_c,peak_temperature,Maximum true coolant temperature reached 142.40 C.
