side,campaign_id,campaign_label,row_type,order_index,chain_stage,chain_stage_label,summary,evidence_label,evidence_time_s,latency_from_first_fault_s,start_s,end_s,phase_label,signal,effect_subtype,detail
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,chain_stage,1,hardware_origin,1. Hardware-Origin Fault,"Permanent fan gate-driver or power-stage stuck-off fault under hot, low-airflow conditions.",fan stuck off (permanent),78.100,0.000,,,urban_traffic,,,"permanent fault active, parameter=0.000"
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,chain_stage,2,ecu_manifestation,2. ECU Manifestation,"The ECU requests fan actuation, but realized fan response stays unavailable, creating a clear actuator-tracking mismatch.",Fan command remains high while realized fan stays unavailable,78.100,0.000,,,urban_traffic,,,Fan command was 0.471 while fan actual was 0.000.
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,chain_stage,3,diagnostic_effect,3. Diagnostic Effect,Fan-tracking evidence appears almost immediately because commanded and realized fan behavior diverge sharply.,Primary DTC: fan tracking fault,78.500,0.400,,,urban_traffic,,,Primary diagnostic evidence first appears as fan tracking fault.
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,chain_stage,4,system_effect,4. Safe-State / System Effect,"Protection escalates quickly and the run later develops clear thermal stress, making the cross-layer story easy to explain in demos.",Safe state: precautionary cooling,78.500,0.400,,,urban_traffic,,,Protection escalated into precautionary cooling.
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,timeline_item,1,hardware_origin,1. Hardware-Origin Fault,fan stuck off (permanent),fan stuck off,78.100,0.000,78.100,120.000,urban_traffic,fault injection schedule,fault_activation,"permanent fault active, parameter=0.000"
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,timeline_item,2,ecu_manifestation,2. ECU Manifestation,Fan command remains high while realized fan stays unavailable,fan mismatch,78.100,0.000,,,urban_traffic,fan_command vs fan_actual,actuator_tracking_mismatch,Fan command was 0.471 while fan actual was 0.000.
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,timeline_item,3,diagnostic_effect,3. Diagnostic Effect,Primary DTC: fan tracking fault,fan fault,78.500,0.400,,,urban_traffic,primary_dtc_label,primary_dtc,Primary diagnostic evidence first appears as fan tracking fault.
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,timeline_item,4,system_effect,4. Safe-State / System Effect,Safe state: precautionary cooling,precautionary cooling,78.500,0.400,,,urban_traffic,safe_state_label,safe_state,Protection escalated into precautionary cooling.
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,timeline_item,5,system_effect,4. Safe-State / System Effect,Safe state: limp home,limp home,78.600,0.500,,,urban_traffic,safe_state_label,safe_state,Protection escalated into limp home.
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,timeline_item,6,system_effect,4. Safe-State / System Effect,Thermal warning threshold crossed,thermal warning,106.500,28.400,,,hot_idle,overtemp_warning,thermal_warning,Coolant temperature crossed the warning threshold.
run,fan_stuck_hot_stress,Stuck-off fan power-stage fault under thermally stressful conditions,timeline_item,7,system_effect,4. Safe-State / System Effect,Peak coolant temperature: 114.6 C,peak 114.6 C,120.000,41.900,,,hot_idle,coolant_temp_true_c,peak_temperature,Maximum true coolant temperature reached 114.57 C.
