side,campaign_id,campaign_label,row_type,order_index,chain_stage,chain_stage_label,summary,evidence_label,evidence_time_s,latency_from_first_fault_s,start_s,end_s,phase_label,signal,effect_subtype,detail
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,chain_stage,1,hardware_origin,1. Hardware-Origin Fault,"Sequential sensing-path, pump-actuation, and fan power-stage faults representing a multi-stage cross-layer failure story.",sensor bias (transient),30.000,0.000,,,highway_load,,,"transient fault active, parameter=6.000"
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,chain_stage,2,ecu_manifestation,2. ECU Manifestation,"The ECU first sees biased sensing, then reduced pump authority, then loss of realized fan actuation.",Biased coolant measurement visible at ECU input,30.000,0.000,,,highway_load,,,Coolant measurement residual reached 6.00 C.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,chain_stage,3,diagnostic_effect,3. Diagnostic Effect,Diagnostic evidence evolves from sensor-rationality to pump-tracking and fan-tracking behavior as the fault chain progresses.,Primary DTC: coolant sensor rationality,30.000,0.000,,,highway_load,,,Primary diagnostic evidence first appears as coolant sensor rationality.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,chain_stage,4,system_effect,4. Safe-State / System Effect,"Protection responds in stages, making the run well suited for explaining progressive propagation across layers.",Safe state: precautionary cooling,61.000,31.000,,,urban_traffic,,,Protection escalated into precautionary cooling.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,1,hardware_origin,1. Hardware-Origin Fault,sensor bias (transient),bias,30.000,0.000,30.000,45.000,highway_load,fault injection schedule,fault_activation,"transient fault active, parameter=6.000"
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,2,ecu_manifestation,2. ECU Manifestation,Biased coolant measurement visible at ECU input,biased measurement,30.000,0.000,,,highway_load,coolant_sensor_residual_c,measurement_bias,Coolant measurement residual reached 6.00 C.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,3,diagnostic_effect,3. Diagnostic Effect,Primary DTC: coolant sensor rationality,rationality,30.000,0.000,,,highway_load,primary_dtc_label,primary_dtc,Primary diagnostic evidence first appears as coolant sensor rationality.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,4,hardware_origin,1. Hardware-Origin Fault,pump degraded (transient),pump degraded,60.000,30.000,60.000,85.000,highway_load,fault injection schedule,fault_activation,"transient fault active, parameter=0.450"
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,5,ecu_manifestation,2. ECU Manifestation,Pump response falls below ECU command,pump mismatch,60.100,30.100,,,urban_traffic,pump_tracking_error,actuator_tracking_mismatch,Pump tracking error reached 0.207.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,6,diagnostic_effect,3. Diagnostic Effect,Primary DTC: pump tracking fault,pump fault,61.000,31.000,,,urban_traffic,primary_dtc_label,primary_dtc,Primary diagnostic evidence first appears as pump tracking fault.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,7,system_effect,4. Safe-State / System Effect,Safe state: precautionary cooling,precautionary cooling,61.000,31.000,,,urban_traffic,safe_state_label,safe_state,Protection escalated into precautionary cooling.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,8,system_effect,4. Safe-State / System Effect,Safe state: limp home,limp home,61.100,31.100,,,urban_traffic,safe_state_label,safe_state,Protection escalated into limp home.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,9,hardware_origin,1. Hardware-Origin Fault,fan stuck off (permanent),fan stuck off,90.000,60.000,90.000,120.000,urban_traffic,fault injection schedule,fault_activation,"permanent fault active, parameter=0.000"
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,10,ecu_manifestation,2. ECU Manifestation,Fan command remains high while realized fan stays unavailable,fan mismatch,96.300,66.300,,,hot_idle,fan_command vs fan_actual,actuator_tracking_mismatch,Fan command was 0.222 while fan actual was 0.000.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,11,diagnostic_effect,3. Diagnostic Effect,Primary DTC: fan tracking fault,fan fault,96.500,66.500,,,hot_idle,primary_dtc_label,primary_dtc,Primary diagnostic evidence first appears as fan tracking fault.
run,paper_default,Mixed hardware-origin campaign with sensing and actuation faults,timeline_item,12,system_effect,4. Safe-State / System Effect,Peak coolant temperature: 92.5 C,peak 92.5 C,96.600,66.600,,,hot_idle,coolant_temp_true_c,peak_temperature,Maximum true coolant temperature reached 92.54 C.
